Address,Type,SaleDate,SalePrice,GRM,Cap,PricePerSF,PricePerUnit,BldgSF,NumberOfUnits,Age,BuildingCondition,BuildingClass,BuildingMaterials,Latitude,Longitude,1Bedrooms,2Bedrooms,3Bedrooms,Floors,ZipCode,Rating,Vacancy,Zoning,SaleCondition,YearBuilt
2513-2595 Laurel St,Multi-Family,9/2/2010,14800000,7.83,6.25,115.77,91358,127838,162,41,Good,C,Wood Frame,38.2925761,-122.3044606,34,127,1,2,94558,2 Star,0,RM,,1976
124 Merrydale Rd,Multi-Family,7/31/2015,12700000,,4.62,344.17,276087,36900,46,52,Good,C,,37.994682,-122.533835,34,12,0,2,94903,2 Star,0,HR1.8,,1965
261 Fairmount Ave,Multi-Family,2/13/2004,2825000,8.87,7.12,152.74,85606,18496,33,62,Good,C,Masonry,37.8183017,-122.2597972,33,0,0,2,94611,2 Star,0,R-70,,1955
1776 Sutter St,Multi-Family,10/31/2001,5900000,9.48,7.34,197.99,173529,29800,34,37,Good,C,Wood Frame,37.786759,-122.42942,33,1,0,4,94115,2 Star,0,Rm-3,Ground Lease ,1980
470 Central Ave,Multi-Family,10/29/2015,6100000,13.79,3.95,423.61,184848,14400,33,58,Good,C,Masonry,37.771266,-122.282862,33,0,0,2,94501,2 Star,0,R-5,1031 Exchange,1959
2020-2024 Clarmar Way,Multi-Family,4/10/2003,4000000,10.13,6.46,242.07,117647,16524,34,61,Good,C,Wood Frame,37.3261871,-121.9333079,33,1,0,2,95128,2 Star,0,C,1031 Exchange,1956
381 Turk St (Part of Portfolio),Multi-Family,5/29/2014,4565000,,,348.69,142656,13092,32,102,Good,B,Masonry,37.7824378,-122.4152981,32,0,0,3,94102,3 Star,3.13,RC4,Bulk/Portfolio Sale,1915
381 Turk St (Part of Portfolio),Multi-Family,5/31/2012,3250000,,,248.24,101562,13092,32,102,Good,B,Masonry,37.7824378,-122.4152981,32,0,0,3,94102,3 Star,3.13,RC4,Bulk/Portfolio Sale,1915
825 Post St (Part of Portfolio),Multi-Family,4/3/2013,24219000,,,353.18,212447,68575,114,104,Good,B,Masonry,37.7872244,-122.415151,32,0,0,5,94109,3 Star,0,RC-4,Bulk/Portfolio Sale,1913
1029-1035 Geary St,Multi-Family,8/8/2014,15450000,13.56,3.5,404.62,266379,38184,58,110,Good,B,Masonry,37.785576,-122.420425,32,22,0,7,94109,3 Star,0,NC3,,1907
825 Post St (Part of Portfolio),Multi-Family,9/1/2010,9789230,,,142.75,85870,68575,114,104,Good,B,Masonry,37.7872244,-122.415151,32,0,0,5,94109,3 Star,0,RC-4,Bulk/Portfolio Sale,1913
1029-1035 Geary St (Part of Portfolio),Multi-Family,5/31/2012,9176423,,,240.32,158214,38184,58,110,Good,B,Masonry,37.785576,-122.420425,32,22,0,7,94109,3 Star,0,NC3,Bulk/Portfolio Sale,1907
1620 Adelaide St,Multi-Family,4/13/2011,2570000,7.72,7.4,138.17,77879,18600,33,53,Good,C,Wood Frame,37.970492,-122.0394698,32,0,1,2,94520,2 Star,0,M1,,1964
